iter	Recall	Logloss
0	0.5538809344	0.641378731
1	0.5486058779	0.6436533768
2	0.557648832	0.6407490615
3	0.5546345139	0.6444226486
4	0.5629238885	0.6396269382
5	0.6217030897	0.614750659
6	0.6119065561	0.6223630495
7	0.6073850791	0.6231811999
8	0.6299924642	0.6108624346
9	0.6134137151	0.6188504193
10	0.6066314996	0.6210635627
11	0.6134137151	0.6200750104
12	0.6209495102	0.6161198742
13	0.6714393369	0.5855801346
14	0.6895252449	0.5850327866
15	0.6684250188	0.5879904742116	0.6608892238	0.5967159751117	0.6834966089	0.5838841218118	0.6789751319	0.58749719	0119	0.5508666164	0.64226120	0220	0.5478522984	0.64050621	021	0.5546345139	0.643833522	022	0.5470987189	0.644089123	023	0.6217030897	0.614339324	024	0.6111529766	0.6242625	0.625	0.6209495102	0.6189726	0.626	0.6217030897	0.6147527	0.27	0.6058779201	0.62360928	0.28	0.6299924642	0.61453729	0.29	0.6639035418	0.59260930	0.30	0.6895252449	0.58503231	0.31	0.6586284853	0.6001332	0.732	0.6691785983	0.59433	0.71333	0.6789751319	0.5903477266


