iter	Recall	Logloss
0	0.005457853244	0.6931423618
1	0.01758641601	0.6930930937
2	0.1661613099	0.6930060578
3	0.1734384475	0.6929059454
4	0.1607034566	0.6927837081
5	0.1643420255	0.6927103706
6	0.1758641601	0.6925885555
7	0.188599151	0.6925234375
8	0.1849605822	0.6924227637
9	0.1910248636	0.6923215919
10	0.1916312917	0.6922618059
11	0.1855670103	0.6921631268
12	0.1782898727	0.6921604166
13	0.2037598545	0.6919972534
14	0.2116434203	0.6918791509
15	0.2255912674	0.691670206
16	0.2146755609	0.6916197725
17	0.2134627047	0.6915419796
18	0.20194057	0.6914251279
19	0.1910248636	0.6913492924
20	0.1873862947	0.6911083981
21	0.188599151	0.6910178419
22	0.1831412978	0.6908157573
23	0.188599151	0.6907603809
24	0.1995148575	0.6906541805
25	0.2073984233	0.6905676486
26	0.2025469982	0.6904876127
27	0.2195269861	0.6902396658
28	0.223771983	0.6901566438
29	0.2201334142	0.6900889966
30	0.2243784112	0.689947503
31	0.2231655549	0.6898570614
32	0.2219526986	0.6898556764
33	0.2225591267	0.6898473174
34	0.2189205579	0.689783167
35	0.2201334142	0.6896338287
36	0.2419648272	0.6894457717
37	0.2401455428	0.6893587067
38	0.2383262583	0.6893574955
39	0.2371134021	0.6892664286
40	0.2334748332	0.6892653706
41	0.2274105518	0.6891467106
42	0.2195269861	0.6890830456
43	0.2189205579	0.6889851241
44	0.2243784112	0.6888768451
45	0.223771983	0.6888132535
46	0.223771983	0.6887060552
47	0.2225591267	0.6886278999
48	0.2268041237	0.6884679134
49	0.2268041237	0.6884114472
50	0.2286234081	0.6883736944
51	0.2352941176	0.6882411619
52	0.2365069739	0.6882032347
53	0.2365069739	0.6880872301
54	0.2395391146	0.6880711813
55	0.2395391146	0.688001512
56	0.2395391146	0.6879826725
57	0.2389326865	0.6878593718
58	0.2395391146	0.6877719536
59	0.2395391146	0.6876623993
60	0.2401455428	0.6876001709
61	0.2419648272	0.6875491596
62	0.2437841116	0.6874406047
63	0.2431776834	0.687225813
64	0.2449969679	0.6871426775
65	0.2468162523	0.687084695
66	0.2474226804	0.6870315069
67	0.249848393	0.6868840236
