iter	Passed	Remaining
0	3	2523
1	4	1972
2	5	1585
3	8	1681
4	10	1615
5	12	1595
6	13	1554
7	15	1488
8	16	1478
9	18	1468
10	21	1507
11	22	1472
12	24	1457
13	25	1436
14	27	1413
15	27	1371
16	29	1365
17	33	1439
18	35	1450
19	37	1455
20	39	1471
21	41	1467
22	43	1456
23	44	1449
24	46	1441
25	48	1439
26	50	1449
27	52	1445
28	54	1438
29	56	1447
30	57	1422
31	58	1409
32	60	1401
33	61	1396
34	62	1375
35	64	1379
36	66	1365
37	67	1360
38	69	1360
39	71	1356
40	73	1363
41	75	1362
42	76	1350
43	78	1350
44	80	1348
45	82	1345
46	83	1333
47	84	1328
48	86	1327
49	89	1335
50	90	1333
51	92	1328
52	94	1324
53	95	1319
54	97	1318
55	99	1324
56	101	1319
57	103	1321
58	104	1317
59	106	1313
60	108	1314
61	110	1314
62	112	1311
63	113	1306
64	115	1302
65	117	1302
66	118	1291
67	119	1288
68	121	1292
69	123	1290
70	125	1286
71	127	1284
72	129	1285
73	130	1279
74	132	1276
75	132	1266
76	134	1265
77	136	1262
78	138	1261
79	140	1265
80	142	1262
81	144	1266
82	146	1268
83	147	1260
84	149	1258
85	151	1260
86	153	1259
87	155	1259
88	158	1263
89	160	1262
90	161	1260
91	164	1267
92	166	1268
93	168	1268
94	171	1272
95	173	1275
96	175	1275
97	177	1273
98	179	1270
99	181	1267
100	182	1262
101	183	1256
102	185	1253
103	187	1251
104	188	1248
105	190	1247
106	192	1243
107	193	1241
108	195	1240
109	197	1238
110	199	1235
111	201	1238
112	203	1236
113	205	1234
114	206	1231
115	207	1224
116	209	1221
117	210	1219
118	212	1217
119	215	1222
120	217	1220
121	219	1218
122	220	1215
123	223	1217
124	224	1214
125	226	1213
126	228	1211
127	230	1210
128	231	1203
129	233	1200
130	234	1197
131	236	1197
132	238	1194
133	239	1191
134	241	1189
135	243	1187
136	245	1187
137	247	1185
138	248	1182
139	249	1177
140	252	1179
141	254	1181
142	256	1178
143	258	1177
144	260	1178
145	261	1172
146	262	1167
147	263	1161
148	265	1159
149	267	1158
150	268	1155
151	271	1157
152	272	1153
153	273	1149
154	275	1146
155	277	1144
156	278	1142
157	280	1139
158	282	1137
159	283	1135
160	285	1134
161	287	1131
162	289	1129
163	290	1126
164	293	1129
165	295	1127
166	296	1125
167	298	1121
168	299	1119
169	301	1118
170	303	1117
171	305	1115
172	307	1113
173	308	1111
174	310	1109
175	312	1106
176	313	1104
177	315	1102
178	317	1101
179	318	1097
180	320	1095
181	321	1092
182	323	1091
183	325	1089
184	326	1086
185	328	1084
186	330	1084
187	333	1085
188	335	1083
189	336	1080
190	339	1081
191	340	1079
192	342	1077
193	344	1075
194	346	1074
195	347	1072
196	349	1070
197	351	1067
198	352	1064
199	354	1062
200	355	1060
201	357	1058
202	359	1056
203	359	1051
204	361	1049
205	363	1048
206	365	1048
207	367	1046
208	369	1044
209	370	1042
210	372	1040
211	374	1039
212	377	1039
213	378	1037
214	380	1036
215	382	1033
216	384	1031
217	385	1029
218	387	1027
219	389	1025
220	390	1023
221	392	1022
222	394	1019
223	396	1018
224	398	1018
225	400	1016
226	402	1016
227	404	1014
228	409	1019
229	411	1018
230	413	1019
231	414	1015
232	416	1012
233	418	1011
234	418	1007
235	421	1007
236	423	1006
237	425	1004
238	426	1000
239	427	998
240	430	998
241	432	997
242	434	995
243	436	993
244	439	995
245	441	993
246	442	991
247	444	989
248	446	987
249	447	984
250	449	983
251	451	981
252	452	978
253	454	976
254	455	974
255	456	970
256	458	969
257	460	967
258	462	965
259	463	963
260	465	961
261	467	960
262	469	958
263	471	956
264	472	954
265	473	950
266	475	950
267	478	949
268	479	946
269	481	944
270	483	942
271	484	940
272	486	938
273	487	936
274	489	934
275	491	933
276	493	931
277	495	931
278	497	928
279	499	927
280	501	925
281	502	923
282	503	920
283	505	918
284	507	916
285	508	914
286	510	912
287	512	910
288	513	908
289	515	906
290	516	904
291	518	902
292	519	898
293	521	896
294	523	895
295	524	893
296	525	890
297	527	887
298	528	886
299	530	884
300	532	883
301	534	881
302	535	879
303	537	877
304	539	875
305	541	873
306	542	871
307	544	869
308	546	868
309	547	866
310	549	864
311	551	862
312	553	861
313	555	859
314	556	857
315	558	855
316	560	854
317	562	852
318	564	850
319	566	849
320	567	846
321	568	844
322	570	842
323	572	840
324	573	838
325	575	836
326	577	835
327	579	833
328	580	830
329	581	828
330	583	826
331	584	824
332	586	822
333	588	821
334	590	819
335	591	817
336	593	814
337	594	812
338	596	810
339	597	808
340	599	806
341	601	805
342	603	803
343	604	801
344	606	799
345	608	798
346	609	796
347	611	794
348	613	792
349	614	790
350	616	788
351	618	787
352	620	785
353	621	783
354	624	782
355	625	780
356	627	778
357	629	777
358	631	775
359	633	774
360	635	772
361	636	770
362	638	768
363	639	766
364	641	764
365	642	762
366	644	760
367	645	758
368	647	756
369	648	753
370	650	751
371	652	750
372	654	748
373	655	746
374	657	744
375	659	743
376	660	741
377	662	739
378	664	737
379	665	735
380	667	734
381	669	732
382	670	730
383	672	728
384	673	726
385	675	724
386	677	722
387	677	719
388	679	717
389	681	716
390	683	714
391	684	712
392	686	711
393	688	709
394	690	707
395	691	705
396	693	703
397	695	702
398	697	701
399	698	698
400	700	697
